Reference, Reference URL, Reference Perpendicular Baseline (meters),Secondary, Secondary URL, Secondary Perpendicular Baseline (meters),Pair Temporal Baseline (days)
S1A_IW_SLC__1SDV_20170325T215248_20170325T215317_015854_01A1FC_6DB3,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170325T215248_20170325T215317_015854_01A1FC_6DB3.zip,-8,S1A_IW_SLC__1SDV_20170430T215249_20170430T215318_016379_01B1DF_F670,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170430T215249_20170430T215318_016379_01B1DF_F670.zip,21,36
S1A_IW_SLC__1SDV_20170325T215248_20170325T215317_015854_01A1FC_6DB3,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170325T215248_20170325T215317_015854_01A1FC_6DB3.zip,-8,S1A_IW_SLC__1SDV_20170512T215250_20170512T215319_016554_01B72B_A208,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170512T215250_20170512T215319_016554_01B72B_A208.zip,67,48
S1A_IW_SLC__1SDV_20170406T215248_20170406T215317_016029_01A730_08DA,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170406T215248_20170406T215317_016029_01A730_08DA.zip,52,S1A_IW_SLC__1SDV_20170418T215249_20170418T215318_016204_01AC92_F2B1,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170418T215249_20170418T215318_016204_01AC92_F2B1.zip,69,12
S1A_IW_SLC__1SDV_20170406T215248_20170406T215317_016029_01A730_08DA,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170406T215248_20170406T215317_016029_01A730_08DA.zip,52,S1A_IW_SLC__1SDV_20170430T215249_20170430T215318_016379_01B1DF_F670,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170430T215249_20170430T215318_016379_01B1DF_F670.zip,21,24
S1A_IW_SLC__1SDV_20170406T215248_20170406T215317_016029_01A730_08DA,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170406T215248_20170406T215317_016029_01A730_08DA.zip,52,S1A_IW_SLC__1SDV_20170512T215250_20170512T215319_016554_01B72B_A208,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170512T215250_20170512T215319_016554_01B72B_A208.zip,67,36
S1A_IW_SLC__1SDV_20170406T215248_20170406T215317_016029_01A730_08DA,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170406T215248_20170406T215317_016029_01A730_08DA.zip,52,S1A_IW_SLC__1SDV_20170524T215250_20170524T215319_016729_01BC8E_E6AD,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170524T215250_20170524T215319_016729_01BC8E_E6AD.zip,-49,48
S1A_IW_SLC__1SDV_20170418T215249_20170418T215318_016204_01AC92_F2B1,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170418T215249_20170418T215318_016204_01AC92_F2B1.zip,69,S1A_IW_SLC__1SDV_20170430T215249_20170430T215318_016379_01B1DF_F670,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170430T215249_20170430T215318_016379_01B1DF_F670.zip,21,12
S1A_IW_SLC__1SDV_20170418T215249_20170418T215318_016204_01AC92_F2B1,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170418T215249_20170418T215318_016204_01AC92_F2B1.zip,69,S1A_IW_SLC__1SDV_20170512T215250_20170512T215319_016554_01B72B_A208,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170512T215250_20170512T215319_016554_01B72B_A208.zip,67,24
S1A_IW_SLC__1SDV_20170418T215249_20170418T215318_016204_01AC92_F2B1,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170418T215249_20170418T215318_016204_01AC92_F2B1.zip,69,S1A_IW_SLC__1SDV_20170524T215250_20170524T215319_016729_01BC8E_E6AD,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170524T215250_20170524T215319_016729_01BC8E_E6AD.zip,-49,36
S1A_IW_SLC__1SDV_20170418T215249_20170418T215318_016204_01AC92_F2B1,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170418T215249_20170418T215318_016204_01AC92_F2B1.zip,69,S1A_IW_SLC__1SDV_20170605T215251_20170605T215320_016904_01C204_B139,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170605T215251_20170605T215320_016904_01C204_B139.zip,49,48
